node_id,lon,lat,built,fast,slow,total
21339,114.2032742,22.34667388,False,0,0,0
29839,114.1983142,22.36841313,True,25,12,37
44569,114.0361766,22.44505017,True,14,13,27
25277,114.0187461,22.35806406,True,18,14,32
29509,114.1746804,22.37783314,True,9,23,32
37162,114.3194267,22.3971047,True,15,13,28
13021,114.0994873,22.37047197,True,25,18,43
49746,114.1144911,22.3624724,True,13,17,30
25477,114.1871654,22.3464743,True,14,15,29
44671,114.1286876,22.50739412,True,19,11,30
20148,113.999518,22.46917116,True,14,20,34
45611,114.1532052,22.23739425,True,3,20,23
40251,114.2241091,22.40551186,False,0,0,0
6232,114.2293708,22.31568132,False,0,0,0
36854,114.1386625,22.25176729,False,0,0,0
51094,114.1760287,22.46270304,True,24,5,29
44768,114.157291,22.28734979,True,9,5,14
48633,114.174886,22.45436978,True,25,25,50
11324,114.2018575,22.38119652,True,18,22,40
49863,114.0568932,22.36617124,False,0,0,0
40792,114.1070907,22.34217681,True,25,20,45
12384,114.1315765,22.53467319,True,12,19,31
30529,114.2305835,22.32696831,True,10,14,24
34899,114.1808926,22.36815516,True,25,3,28
49502,114.060817,22.34820367,True,20,22,42
9518,114.1055022,22.34840591,True,25,11,36
46754,114.3367288,22.43492881,True,13,3,16
9829,114.0989837,22.34953132,False,0,0,0
23776,114.2273726,22.31145163,True,23,16,39
48595,114.1447712,22.33805648,False,0,0,0
9800,114.1274759,22.35175169,False,0,0,0
42801,114.2060389,22.39173288,True,14,12,26
13249,114.1923346,22.38505706,True,12,10,22
39153,114.0201751,22.44205068,True,5,7,12
25218,113.998497,22.4622117,True,19,12,31
27495,114.1318743,22.35285939,False,0,0,0
23652,114.1804868,22.3418271,True,20,3,23
10742,114.2418018,22.50591971,True,13,3,16
10655,114.1284112,22.34605766,False,0,0,0
25167,114.1706145,22.33153741,True,17,18,35
23691,114.2292821,22.32774825,False,0,0,0
3528,114.0639362,22.4215126,True,16,15,31
37043,114.0706043,22.43332328,True,17,14,31
21504,113.9719905,22.40272391,True,15,11,26
46927,114.1882348,22.27734741,True,25,3,28
9631,114.1269876,22.36362863,False,0,0,0
6761,114.1069608,22.34797117,False,0,0,0
7496,114.0230038,22.45090594,True,9,3,12
46512,113.9987691,22.43656837,True,19,11,30
48482,114.2724275,22.38410235,True,16,13,29
16225,113.9725596,22.38388046,True,10,22,32
